Keyword,Count
대하,4579
좋아하,4185
모르,3771
나오,3411
위하,3411
가지,3369
정하,2709
들어가,2421
배우,2326
그러,2247
알아보,2241
나누,2187
생기,2118
느끼,2113
나가,2102
만나,2063
보이,2000
찾아보,1928
통하,1903
다니,1900
관하,1804
따르,1763
바라,1677
알리,1637
만들,1585
보내,1504
원하,1465
끝나,1240
만드,1216
드리,1188
이루,1049
물어보,989
바뀌,953
살펴보,926
지내,894
세우,868
그리,851
사라지,838
마치,786
맞추,718
어울리,711
가르치,699
싫어하,691
올리,629
다루,593
즐기,590
들어오,563
고르,548
키우,541
바꾸,534
도와주,504
생각나,498
갖추,496
올라가,489
떨어지,485
생겨나,477
변하,447
꿈꾸,446
살아가,436
부르,425
기억나,414
달라지,409
걸리,404
지나,401
계시,386
찾아가,378
응하,366
해보,344
챙기,340
접하,335
일어나,329
기다리,322
떠오르,319
이루어지,315
인하,305
거치,305
움직이,303
살피,288
해내,285
외우,276
모으,274
비하,274
걸치,269
넓히,269
주어지,264
여쭈,263
속하,262
나아가,255
늘어나,251
살리,250
지키,239
여기,228
높이,218
나타나,214
고치,214
끌리,213
나뉘,213
기르,208
채우,206
쓰이,205
오르,205
앞서,192
끝내,190
풀리,190
구하,188
익히,187
다가오,187
이기,181
빠지,181
다녀오,180
시키,171
내리,168
이끌,168
꾸미,168
임하,166
올라오,165
미치,165
사귀,164
향하,163
줄어들,162
달리,160
부탁드리,154
모이,153
넘어가,151
그만두,151
어쩌,146
놀라,145
열리,145
차리,145
의하,144
알려주,144
떠올리,143
권하,143
따라가,137
들리,136
넘치,134
남기,134
달라,132
틀리,131
쌓이,130
미루,126
돌보,125
힘내,125
줄이,119
택하,117
어려워하,117
누르,116
싸우,115
잡히,114
옮기,114
앞두,113
치르,112
따라서,110
지나가,109
더불,108
커지,106
돌아가,106
놓치,105
지치,103
늘리,100
따지,100
어떡하,99
이어지,98
가리,98
까먹,97
일하,97
다치,96
들이,96
바라보,94
떨리,94
춤추,89
받아들이,88
좁히,87
나서,86
만지,84
없어지,83
전하,82
넓어지,81
돌리,81
다가가,80
많아지,79
견디,79
나아지,79
보시,78
적히,76
버리,76
가져오,76
내려놓,74
타고나,73
망하,72
이뤄지,72
이러,71
웃기,70
끼치,69
설레,69
여쭤보,69
잊어버리,68
졸리,68
붙이,68
높아지,68
합치,67
빌리,67
나타내,67
돌아오,66
찾아오,66
불리,66
펼치,65
찾아내,63
버티,63
매기,62
피하,61
책임지,61
흐르,60
헷갈리,60
