index,school_type,region,gender,grade,counselling_purpose,question1,question2,question3,question4,question5,question6
S-0026,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,2,4,2,2,2
S-0028,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,2,4,2,3,2
S-0029,고등학교,경기도 광주시,여,상,학교 진로 상담 참여,3,4,4,4,2,4
S-0030,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,2,2,3,5,3
S-0031,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,4,4,2,4,4,4
S-0033,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,4,2,3,2,4,3
S-0036,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,4,3,4,3,4,3
S-0037,고등학교,경기도 광주시,남,하,학교 진로 상담 참여,4,3,4,3,5,4
S-0038,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,3,3,3,3,3,3
S-0040,고등학교,경기도 용인시,남,하,학교 진로 상담 참여,3,3,4,3,3,3
S-0041,고등학교,경기도 광주시,여,하,학교 진로 상담 참여,2,1,3,1,2,3
S-0044,고등학교,경기도 성남시,남,상,학교 진로 상담 참여,3,3,3,1,5,3
S-0122,고등학교,경기도 수원시,여,하,학교 진로 상담 참여,2,2,2,3,4,3
S-0126,고등학교,경기도 안산시,여,중,학교 진로 상담 참여,4,4,3,2,2,3
S-0129,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,3,3,3,3,2,3
S-0133,고등학교,경기도 수원시,남,상,학교 진로 상담 참여,4,4,4,4,3,4
S-0135,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,5,5,4,3,5,3
S-0141,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,2,2,3,2,4,3
S-0149,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,3,3,3,4,4,3
S-0152,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,3,2,3,2,4,4
S-0154,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,4,4,3,4,4
S-0163,고등학교,경기도 성남시,여,중,학교 진로 상담 참여,3,3,3,4,4,3
S-0165,고등학교,경기도 성남시,남,중,학교 진로 상담 참여,3,2,3,3,2,2
S-0166,고등학교,경기도 성남시,남,하,학교 진로 상담 참여,4,4,4,4,4,4
S-0168,고등학교,경기도 성남시,여,하,학교 진로 상담 참여,4,4,3,3,4,3
