index,school_type,region,gender,grade,counselling_purpose,question1,question2,question3,question4,question5,question6
S-0022,중학교,경기도 화성시,남,중,학교 진로 상담 참여,2,2,3,1,3,3
S-0024,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,4,2,2,2,4
S-0027,중학교,경기도 화성시,여,하,학교 진로 상담 참여,5,4,4,3,5,4
S-0032,중학교,경기도 성남시,여,하,학교 진로 상담 참여,4,3,2,2,4,3
S-0034,중학교,경기도 화성시,여,상,학교 진로 상담 참여,3,2,2,2,2,2
S-0035,중학교,경기도 화성시,남,상,학교 진로 상담 참여,3,2,3,3,3,3
S-0039,중학교,경기도 성남시,여,상,학교 진로 상담 참여,4,5,4,3,4,4
S-0045,중학교,경기도 화성시,여,하,학교 진로 상담 참여,3,3,3,2,4,4
S-0046,중학교,경기도 화성시,남,상,학교 진로 상담 참여,2,2,3,3,2,4
S-0120,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,4,4,4,2,2
S-0124,중학교,경기도 성남시,여,하,학교 진로 상담 참여,5,5,3,4,2,2
S-0125,중학교,경기도 성남시,여,상,학교 진로 상담 참여,5,4,4,3,5,4
S-0127,중학교,경기도 화성시,남,상,학교 진로 상담 참여,2,2,4,2,2,4
S-0128,중학교,경기도 성남시,남,하,학교 진로 상담 참여,4,4,4,4,3,4
S-0134,중학교,경기도 화성시,여,상,학교 진로 상담 참여,4,4,3,2,5,5
S-0136,중학교,경기도 화성시,여,하,학교 진로 상담 참여,4,4,3,4,4,4
S-0140,중학교,경기도 화성시,남,중,학교 진로 상담 참여,5,5,4,2,3,5
S-0143,중학교,경기도 화성시,여,중,학교 진로 상담 참여,4,3,4,4,4,4
S-0144,중학교,경기도 화성시,남,중,학교 진로 상담 참여,2,2,3,4,2,3
S-0145,중학교,경기도 화성시,여,하,학교 진로 상담 참여,2,2,3,2,2,2
S-0148,중학교,경기도 화성시,여,중,학교 진로 상담 참여,5,4,3,2,2,3
S-0151,중학교,경기도 성남시,여,하,학교 진로 상담 참여,2,4,2,2,1,3
S-0153,중학교,경기도 성남시,여,상,학교 진로 상담 참여,4,3,4,4,2,3
S-0156,중학교,경기도 성남시,남,중,학교 진로 상담 참여,5,2,4,2,3,4
S-0158,중학교,경기도 화성시,여,중,학교 진로 상담 참여,3,3,3,3,5,3
S-0164,중학교,경기도 화성시,여,하,학교 진로 상담 참여,4,4,3,2,4,3
