student_idx,job_label,expert_comment_ko,summary1,summary2,priority1,priority2,priority3
S-0155,기술계열,"학생은 직업적성, 흥미검사 결과 E형(기업형), S형(사회형) 사람 중심적인 유형을 하고 있으며, 학생이 사전에 선호하는 수의사직업군과 일치성을 가진 자연 친화력과 공간지각력을 가지고 있고, 무엇보다 직업가치 관에서 안정성을 가지고 즐거움과 성취를 가질 수 있는 직업군을 선호하고 있어서 1, 2차 직업적성검사의 결과에 일관성이 보인다.하지만, 아직 학생이 선호하고자 하는 직업군을 단정을 짓기보다는 관련 직군들의 다양한 직업들에 관해 알아보고, 자신이 선호하는 사람 중심적이고, 자연 친화적이고 안정성을 가진 직업군들을 탐색해 보는 것이 좋으리라 생각되며, 수의사의 직업군으로 진로 방향을 정하였다면, 직군에 필요한 학군, 자격증, 준비 자세 등에 대해 조금 더 세심한 흥미, 적성 직군에 맞는 자료 수집이 필요할 것이다.
 하지만, 아직 학생이 선호하고자 하는 직업군을 단정을 짓기보다는 관련 직군들의 다양한 직업들에 관해 알아보고, 자신이 선호하는 사람 중심적이고, 자연 친화적이고 안정성을 가진 직업군들을 탐색해 보는 것이 좋으리라 생각되며, 수의사의 직업군으로 진로 방향을 정하였다면, 직군에 필요한 학군, 자격증, 준비 자세 등에 대해 조금 더 세심한 자료 수집이 필요할 것이다.
","학생은 독서와 글쓰기를 좋아하며 과학 과목을 좋아한다. 미래 희망 직업으로는 강아지를 좋아하여 수의사 또는 곤충을 좋아하여 생물을 연구하는 과학자가 되고 싶어 한다. 학생은 잡월드에서 수의사, 항공사, 경찰 등 직업 체험을 통해 수의사가 가장 마음에 들었고, 잡월드에서 하는 직업 흥미, 재능 검사를 했지만, 기억이 나지 않는다. 그래서 2차 상담에서는 직업적성검사, 직업흥미검사 H, 직업 가치관 검사 3개를 실시해서 진로 검사 결과를 가지고 다음 상담을 진행하기로 했다.","학생은 자연 친화력, 공간지각력, 신체 운동능력, 예술 시각의 적성이 모두 높은 수치로 골고루 잘 발달하였고, ESR로 기업형, 사회형, 실재 형의 흥미를 보인다. 직업 가치관으로는 안정성, 즐거움, 성취 순으로 나타났고, 의사나 과학자가 잘 맞지만, 특히 수의사도 잘 맞을 것 같다. 학생 또한 적성에 맞게 수의사가 되고 싶어 하며, 특정 대학교의 수의학과 진학을 원한다. ",의료관련 전문직,이학 전문직,자연친화 관련직
S-0157,기술계열,"좋아하는 것은 게임과 운동이고 자신이 무엇을 잘하는지 알지 못한다. 적성에 맞는 직업이 무엇인지 잘 모르지만, 미래의 유망직업에 대해 관심이 많다. 빅데이터, 핀테크, 초연결사회에 대해 관심이 많지만, 관련 직업에 대해 탐색해 본 적은 없다. 앞으로 창의적이고 안정적인 일을 하고 싶어 한다.
학생이 스스로 만족할 수 있는 일과 직업을 선택하는 것은 자신의 성향과 특성을 이해하는 것에서 시작한다. 워크넷이나 커리어넷 등의 인터넷 진로 사이트를 활용하여 다양한 진로 심리검사를 해보고, 결과를 바탕으로 자신의 흥미와 적성, 가치관을 형성해 나가는 노력이 필요할 것이다. 또한 흥미로운 일과 직업세계를 적극적으로 탐색해보고 하는 일, 현황, 전망 등의 정보를 탐색해 보는 것도 좋겠다.
학생은 창의력과 자율성을 바탕으로 일하는 것을 선호하며 미래 유망직업에 관심이 많다. 특히 다른 과목 보다 수학을 좀 더 흥미로워한다. 학생의 흥미와 특성을 바탕으로 IT 관련직을 추천한다. 관련 직업에는 인공지능 전문가, 빅데이터 연구원 등이 있다. 또한, 예술 관련 기획직을 추천한다. 관련 직업에는 게임기획자, 크리에이터 등이 있다. 이 직무는 창의성이나 자율성이 필요하며 학생의 직업 가치관과 적합한 것으로 판단된다. 마지막으로, 활동적이고 만드는 것과 조립하는 것을 좋아하는 학생의 특성을 바탕으로 기능직을 추천한다. 관련 직업에는 로봇 조작원, 기계 정비원 등이 있다. ","진로상담을 처음 받아보면서 자기 자신이 좋아하는 것, 좋아하는 과목, 자기 자신을 이해하는데 다시 한번 생각할 수 있는 기회가 되었다. 관심 있어 하는 미래직업 트렌드로는 빅데이터, 핀테크, 초연결 사회에 관심을 가지고 있다. 여러 가지 가치 중에서 가장 중요하게 생각하는 가족이며 직업 가치관 측면에서는 안정적이면서 본인의 자율성이 보장돼있고 창의적인 일을 할 수 있는 일을 선호한다.",자신의 적성에 맞는 직업을 찾고 싶어 하여 상담사님과 함께 미래 유망 직업에 대해 알아보았고 유망직종 분야에는 사물인터넷과 관련된 초연결 사회 분야 건강 분야에는 노인 플래너 원격진료 코디네이터가 있고 로봇 분야 디자인 분야 안전 분야 바이오 분야 에너지 분야에 관련된 직업들에 대해 알게 되었으며 앞으로도 미래에 자신이 하고 싶은 진로에 대해서 고민할 계획을 가지고 있다.,IT관련전문직,공학 전문직,공학 기술직
S-0170,기술계열," 초등학교 6학년인 이 남학생은 로봇공학자를 목표로 진로를 준비하고 있는 진로 결정자입니다. 로봇공학자에 대하여 알고자 하였습니다.
  이 학생은 게임과 스케이트보드를 좋아하고 달리기와 스케이트보드를 잘한다고 하였습니다. 부모님과 가깝게 지내며 친구들과 잘 지내고 학교생활도 만족하고 있습니다. 초등학교 1학년 때부터 로봇에 관심이 많았으며, 카이스트 파이썬을 통해 프로그래밍과 코딩을 배우고 있다고 했습니다. 미적분/물리 등에 관심 있으며 이과적 특성을 가졌고 이과적 특성이 본인과 맞는다고 했습니다. 부모님이 돈보다 좋아하는 일을 하라고 했으며 본인도 동의하고 있습니다.
 이 학생은 로봇공학자를 희망하는 점, 프로그래밍과 코딩을 재미있다고 하는 점, 미적분/물리에 관심 있는 점 등을 볼 때 수리‧논리 적성 유형을 가진 것으로 보입니다. 수리‧논리 능력이 필요 되는 직업군은 공학 기술직, 공학 전문직, 이공계 교육 관련직, 의료관련 전문직, IT관련전문직, 금융 및 경영 관련직, 인문 및 사회과학 관련직, 회계 관련직, 법률 및 사회활동 관련직, 이학 전문직 등이 있습니다. 그중에서 본인이 로봇공학자를 희망하고 이과적 특성이 강한 점을 고려하여 ‘공학 전문직’을 추천합니다.
  그리고 부모님/친구와 잘 지내는 점, 돈보다 하고 싶은 일을 하라는 말에 동의하는 점, 사람을 위하는 로봇을 만들고 싶다는 점 등을 볼 때 대인관계 적성 유형을 가진 것으로 보입니다. 대인관계 능력이 필요 되는 직업군은 교육관련 서비스직, 기획서비스직, 매니지먼트 관련직, 보건의료 관련 서비스직, 사무관련직, 영업관련 서비스직, 일반 서비스직 등이 있습니다. 그중에서 이과적 특성과 사람을 생각하는 점을 고려하여 ‘기획서비스직’을 추천합니다.
  한편 게임과 운동을 좋아하고 잘하는 점, 친구들과 잘 어울리는 점 등을 볼 때 신체‧운동 적성 유형을 가진 것으로 보입니다. 신체‧운동능력을 필요로 하는 직업군은 운동관련직, 무용 관련직, 안전 관련직, 일반운전 관련직 등이 있습니다. 그중에서 고려하여 로봇공학자를 희망하는 점과 운동능력을 고려하여 ‘안전 관련직’을 추천합니다.","학생은 1학년 때 학교에서 로봇 관련된 방과 후 수업을 듣게 된 후부터 로봇에 관심이 생겨 로봇을 연구하는 로봇 공학자가 되고 싶어 한다. 그래서 학생은 로봇을 만들고 코딩도 배우는 방과 후 수업을 꾸준히 들었으며, 현재는 카이스트에서 파이썬을 배우고 있다. 아직은 진학 관련한 로드맵을 세워둔 상태가 아녀서 로봇 공학자가 되기 위한 진학 정보를 공유하며 상담하였다.",위 학생은 초등학교 6학년이며 로봇에 관심을 많이 갖고 있다. 그래서 이과적 특성이 강한 편이며 물리 미적분 등 이러한 과목에도 관심이 많이 있으며 로봇 공학자가 되기 위해서는 이과 특성을 제외한 과목도 문과 과목도 중요하다고 생각한다. 왜냐하면 논리적 글쓰기가 중요하기 때문이다. 또한 로봇공학자가 되면 사람들에게 좀 더 도움이 되는 로봇을 만들고 싶어 하며 그래서 활동으로는 학교 방과 후 수업에서 로봇대회에 출전해 보고 로봇 관련 영화 서적 등을 많이 읽고 있다.,공학 전문직,IT관련전문직,공학 기술직
S-0188,생산계열,"
학생정보에는 초등학교로 되어 있으나 1-1차, 1-2차 내용에는 고등학교 2학년으로 되어 있습니다. 수정 요청합니다.

고등학교 2학년인 이 남학생은 진로에 대하여 고민해 보지도 않아서 진로가 미 결정된 상태입니다. 다양한 직업에 대하여 알지 못하고 미래에 하고 싶은 일도 없다고 했습니다. 본인의 적성에 맞는 직업에 대하여 궁금해하고 있습니다.
  이 학생이 좋아하는 것은 게임과 볼링 및 고양이이며 오래달리기를 잘 한다고 했습니다. 관심 있는 직업군으로 크리에이티브와 테크놀로지를 선택하였습니다. 관심 있는 직업으로 크리에이티브 분야에서는 화가를 선택하였고, 테크놀로지 분야에서는 컴퓨터 프로그래머를 선택하였습니다. 전에는 취업을 원했으나 지금은 대학 진학을 계획하고 있습니다. 근무는 정해진 틀이 있는 환경에서 주어진 과제를 수행하는 일을 선호한다고 했습니다. 직업을 선택할 때 중요하게 생각하는 것은 급여라고 했습니다. 본인의 진로 선택에 대하여 책임질 수 없으며, 본인이 진로 계획수립도 할 수 없다고 했습니다. 본인의 성격은 내향적으로 차분하고 조용하며, 합리적이고 이성적인 사람이라는 평을 받고 있다고 했습니다. 본인의 장점으로는 끈기가 있어서 시작한 일은 끝까지 하는 것이라고 했으며, 단점으로는 소심한 성격이라고 했습니다. 복잡한 일을 싫어하며 일을 해결할 때 이성보다 감성을 중요하게 생각한다고 했습니다.","취미는 게임과 볼링이다. 운동을 좋아하고 오래달리기를 잘한다. 장점으로는 지구력이 좋고 사회성이 좋다. 성격은 내향형이지만 친구들과 어울리기를 즐겨한다. 복잡한 일을 싫어하는 성향이다. 취업을 생각하고 있었으나 지금은 대학 진학을 계획하고 있다 진로 선택 시, 아직 무엇을 좋아하고 잘하는지 모르겠다. 진로 심리 탐색을 통해 하고 싶은 일을 찾아보기로 했다.","자신의 장점으로 끈기가 있어서 시작한 일은 끝까지 하는 것이고, 단점으로는 소심하고 내향적 성격이다.
선호 직종으로는 미술이나 음악을 선택하였으며, 근무 중 선호하는 환경은 정해진 틀이 있는 환경에서 주어진 과제를 수행하는 일이 선호한다.
차분하고 조용한 성격이며, 사람들에게 합리적이고 이성적인 사람이라 평을 받고 어떠한 일을 해결할 때는 감성을 중요시한다.
직업을 선택할 때 중요하게 생각하는 것은 급여이다.",미술 및 공예 관련직,음악 관련직,예술기획 관련직
S-0219,기술계열,"학생은 진로 관련하여 상담받고 싶어 하는 내용은 '자신이 진심으로 원하고 그것만 할 수 있을 정도로 잘 맞는 진로를 찾는 법'을 알고 싶어 합니다. 학생은 지금은 좋아하는 것과 잘하는 것뿐만 아니라 미래에 하고 싶어 하는 일은 정해져 있지 않습니다. 그러나 학생은 학교생활을 충실히 하고 있으며, 꿈의 학교 프로그램에 참여하면서 의학이나 동물 관련 활동을 체험하면서 진로를 찾고자 노력하고 있습니다. 또한 우와한 비디오와 동물농장 유튜브 채널을 즐겨 보는 점도 유의해 볼 점입니다. 진로 상담을 통해 학생이 생각해 볼 수 있는 진로는 첫째, 수의사에 관심을 보이고 있으며 둘째, 초등학교 담임교사로 아이들의 마음을 어루만져주고, 교사로서 지식이 많아서 아이들에게 앞길을 제시해주는 초등학교 선생님이 되고 싶어 합니다. 셋째, 소프트웨어 프로그램 개발자는 아버지의 직업이어서 선택했다고 하였습니다. 앞으로 이 분야에 관해서도 관심을 가져보고, 아버지하고 소프트웨어 프로그램 개발과 관련된 이야기를 나눠보는 기회를 가져보길 바랍니다. 수의사는 의료관련 전문직으로 수리.논리 능력이 필요하고, 초등학교 교사는 인문계 교육 관련직으로 언어, 수리.논리, 자기성찰 능력이 필요합니다. 소프트웨어 프로그램 개발자는 IT관련 전문직으로 수리.논리 능력을 요구합니다.","여름 방학 기간 중 학원을 가거나 집에서 게임을 하면서 지내고 있다.
상담을 신청한 계기는 다른 사람들에 비해 특출난 부분이 없어 진로를 찾기가 힘들었는데 이대로는 안될 거 같아 신청을 하였다.
수의사, 소프트웨어 개발자, 교사 등을 희망 직업으로 생각을 하고 있으며, 수의사는 자신이 동물을 좋아하기 때문이다.
상담사가 꿈의 학교 프로그램을 추천하자 긍정적인 반응을 보이며 다음에 참여해 보기로 하였다.
희망 직업 중 프로그램 개발자는 아버지의 직업이라 선택하였고, 교사는 초등학교 교사를 고려 중이다.","초등학교, 중학교, 고등학교 교사의 차이점에 대해 알고 싶어 하며, 아이들의 마음을 어루만져주는 선생님이 되고 싶어 한다. 그러나 교사보다 수의사를 더 하고 싶어 하며, 학교생활에 충실함은 물론 꿈의 학교 프로그램을 통해 의학이나 동물 관련 활동을 통해 준비할 수 있다고 생각한다. 여러 직업을 동시에 수행하는 점에 관심이 많으며, 우아한 비디오나 동물농장이란 유튜브 채널을 많이 본다. ",의료관련 전문직,교육관련 서비스직,자연친화 관련직
S-0225,서비스계열,"  초등학생인 이 여학생은 선생님을 목표로 진로를 탐색하고 있는 단계에 있으며, 오랫동안 일 할 수 있는 전문직을 알고자 했습니다.
  이 학생은 그림 그리기/강아지 돌보기/놀이공원 가기/부모님께 선물드리기/실용적인 물건 만들기 등을 좋아하고, 그림 그리기/노력하는 것/아기를 웃게 만드는 것/다이어리 꾸미는 것 등을 잘한다고 했습니다. 인문계 과목과 수학을 좋아한다고 했습니다. 두 번의 적성검사에서 계획적이며 리더십이 있다고 나왔다고 했습니다. 학교에서 한 강점 지능 검사에서 인간 친화와 자기 성찰, 언어가 강점이라고 했습니다. 1학년 때 담임선생님이 멋있어서 초등학교 교사를 희망했는데 검사도 희망한다고 했습니다. 아이들을 가르치는 것이 더 행복하게 해 줄 것 같아서 지금은 선생님을 희망한다고 했습니다.
  이 학생은 선생님을 희망하는 점, 가르치는 것이 행복하다고 한 점, 부모님께 선물드리기를 좋아하는 점, 아기를 웃게 만드는 점, 인간 친화/언어가 강점인 점 등을 볼 때 대인관계 적성 유형을 가진 것으로 보입니다. 대인관계 능력이 필요 되는 직업군은 교육관련 서비스직, 기획서비스직, 매니지먼트 관련직, 보건의료 관련 서비스직, 사무관련직, 영업관련 서비스직, 일반 서비스직 등이 있습니다. 그중에서 선생님을 희망하고 인간 친화/언어가 강점인 점을 고려하여 ‘교육관련 서비스직’을 추천합니다.
  그리고 언어가 강점인 점, 아기를 웃게 만드는 점, 리더십이 있는 점 등을 볼 때 언어 적성 유형을 가진 것으로 보입니다. 언어 능력이 필요 되는 직업군은 인문계 교육 관련직, 인문 및 사회과학 관련직, 언어 관련 전문직, 작가 관련직, 법률 및 사회활동 관련직 등이 있습니다. 그중에서 본인 희망과 언어 능력을 고려하여 ‘인문계 교육 관련직’을 추천합니다.
  한편 그림 그리기를 좋아하고 잘하는 점, 물건 만들기와 강아지 돌보기를 좋아하는 점 등을 볼 때 손 재능 적성 유형을 가진 것으로 보입니다. 손 재능 능력이 필요 되는 직업군은 기능직, 의복제조 관련직, 조리 관련직, 이미용 관련직, 기타 게임‧오락‧스포츠 관련직 등이 있습니다. 그중에서 그림을 잘 그리고 물건을 잘 만드는 점을 고려하여 ‘의복제조 관련직’을 추천합니다. 
","적성 검사를 해 본 결과 계획적이고 리더십이 있다. 인간 친화와 자기 성찰, 언어가 강점이다. 가르쳐주신 선생님이 멋있다는 생각이 들어 초등학교 교사가 꿈이 되었다. 아이들을 가르치는 것이 행복할 것 같아 지금은 직업 선택의 1순위이다. 하지만 검사도 되고 싶기 때문에 장래 희망이 바뀔 가능성도 있다. 적성 검사 결과 나온 직업 중 내 적성에 맞는 직업을 찾는 방법이 궁금하다. 그 직업에 대해 직간접적으로 경험하기로 했다. ",학생이 희망하고 있는 직업으로는 검사와 교사를 고려 중이 있었으나 그중 특히 교사 직군에 더 관심이 있다. 교사 중에서도 특히 초등 교사에 관심이 있다. 초등 교사가 되기 위해서는 초등 교원자격증이 필요하다는 것을 알게 되었고 과목 중에서도 수학을 가장 좋아하며 수학을 좋아하게 된 이유는 규칙적으로 생각하고 논리적인 과목을 좋아하는 데 수학이 가장 그 점에 가까운 과목이라 좋아한다.,교육관련 서비스직,법률 및 사회활동 관련직,인문 및 사회과학 관련직
S-0242,기술계열,"초등학교 5학년 여학생은 의사가 되는 방법에 대해 알고 싶어 상담을 신청하였다. 학생은 진로 목표가 소아과의사이고 좋아하는 활동은 만들기이며 잘하는 것은 공감이다.

학생의 특성으로는 관심 있는 직업의 공통점인 다른 사람들 도와주는 것이 있다. 또한 학생은 대화하는 것을 선호하고 타인에게 공감을 잘하는 편이다.

추천 직무 1순위는 사회 서비스직으로 학생의 가장 큰 강점은 타인을 도와주고 활동을 선호하고 공감 능력도 있으므로 이 직무를 추천한다.
추천 직무 2순위는 보건의료 관련 서비스직 학생의 아픈 사람을 치료하고 돌보고 의료적 지원을 하는 것에 관심이 많으므로 이 직무를 추천한다.
추천 직무 3순위는 의료 관련 전문직으로 학생의 아픈 사람을 치료하고 돌보고 의료적 지원을 하는 것에 관심이 많으므로 이 직무를 추천한다. 또한 학생은 소아과의사라는 뚜렷한 진로 목표가 있다.

학생은 진로 탐색을 적극적으로 하고 있고 자신의 흥미와 적성을 비교적 명확하게 인지하고 있으며 그와 어울리는 직업에 관심이 있다. 따라서 학생은 또래와 비교하면 진로 성숙도가 높을 것으로 판단된다. 학생은 앞으로 진로 탐색 기회가 많으므로 다양한 경험을 통해 자신을 계발할 수 있을 것으로 보인다.","엄마의 추천으로 상담을 신청하게 되었으며, 심리상담사에 관해 이야기해보고 싶어한다. 상대방의 마음을 이해해주고 알아주는 공감을 잘한다. 심리상담사가 되려면 어떤 공부를 하면 좋을지는 잘 모르겠으나, 상대방과 대화하는 면 때문에 사람과 상담하는 것을 좋아한다. 심리상담사가 집중적으로 공부해야 하는 과목에 대해 궁금하며, 현재는 소아과의사가 꿈이다. 무료로 치료해주고 싶은 생각을 하고 있으며, 취미 혹은 광고로 얻는 돈을 통해 치료비용이나 의약품 조달을 통해 도와줄 수 있다고 생각한다.","학생의 흥미 유형은 친구들과 함께 있는 것이 편하고 자유롭게 연구하는 일을 좋아하여 사회형, 예술형, 탐구형에 속한다. 학생은 4학년 때 아프리카에 사는 아이들이 치료를 못 받는 후원 영상을 시청하고부터 소아과 의사에 관심을 두게 되었다. 아직은 초등학생이기 때문에 의사라는 직업에 대해서 열린 마음을 가지고 다양한 체험이나, 책을 통한 간접 체험을 해보는 것을 추천하며 상담하였다.",의료관련 전문직,이학 전문직,사회서비스직
S-0246,서비스계열,"학생은 초등학교 5학년생으로 3학년 때부터 뮤지컬 배우를 꿈꾸고, 혼자 연기연습에 몰두하는 등 스스로 연기에 재능있다고 여기고 있고 흥미를 느끼고 있습니다. 내향적이며 좋아하는 과목은 국어, 수학, 음악입니다. 취미는 책 읽기, 글쓰기를 즐겨하고 클레이로 하는 손 재능도 좋습니다.
 홀랜드 유형으로는 예술 및 탐구형에 속합니다. 관심 있는 직업은 뮤지컬배우, 영화배우입니다. 뮤지컬배우 직업은 춤, 노래, 연기실력이 좌우하므로 이와 관련된 영국 영화와 뮤지컬 학과, 무용학과, 실용음악과 등을 선택하여 전문성을 키우고, 동아리 모임에서 연극배우 일원으로 수시로 참여하는 등 부족한 부분을 채우는 노력이 필요합니다. 다른 한편으로 연기학원에서 지속적인 훈련을 받으면서 수시로 오디션에 도전하는 방법도 고려해야 합니다.

추천직무는 연기 관련직 중 연기자(배우), 예술기획 관련직 중 연극연출가 직업입니다. 연기자는 무엇보다 신체 운동능력, 창의력, 언어능력, 배역에 대한 분석력, 연기력이 요구되며, 다양한 배역을 소화하려면 음악, 무용, 미술 등 풍부한 예술적 지식이 필요합니다.   연극연출가는 한편의 연극을 연출하기 위해 희곡작품의 주제, 성격 등을 분석하고 연기자들과 스텝들을 지휘 감독합니다. 이러한 면에서 학생은 신체 운동능력과 인간 친화적인 대인관계 맺기에 힘써야 할 것입니다.  ","학생은 초등학교 3학년 때부터 뮤지컬 배우가 꿈이다. 연기학원을 다니는 것은 아니지만 입에 볼펜 물고 연기 연습하며 꿈을 위해 노력하고 있다. 성격은 내향형이고 국어, 수학, 음악 과목을 좋아한다. 노래를 잘 부르고 연기에 재능이 있다고 생각하며, 학교에서나 다른 곳에서 연극공연에 많이 참여해봤다. 책 읽기, 글쓰기를 즐겨하고 만들기도 좋아하며 손 재능이 있다. 뮤지컬 배우 외에도 영화배우에도 관심이 많다. 상담을 통해 배우의 직업정보 탐색 및 어떤 일을 하는지 등을 알게 되었다.","고학년 진로 흥미 탐색 프로그램을 이용했다.
뮤지컬 배우라는 직업에 대해 설명하였고 해당 직업에 대한 정보를 인지했다.
뮤지컬 공연을 직접 관람한 적이 있다.
뮤지컬 배우들의 소속이 되어 있는 점과 프리랜서로 나뉘는 점에 대해 설명하였고 프리랜서는 무소속인 점을 인지했다.
뮤지컬 배우가 되기 위해 배역을 배정받는 것이 어떻게 진행되는지 인지했다.
연기 연습을 하고 있다",연기 관련직,예술기획 관련직,무용 관련직
S-0248,서비스계열,"
학생은 초등학교 5학년으로 사교성이 뛰어나고 봉사 정신이 강하며 취미는 ‘게임 유튜브, 영화 보기’를 즐깁니다. 좋아하는 과목은 수학이며 싫어하는 과목은 미술, 체육입니다. 홀랜드 적성검사 결과는 SE 형으로 관심 있는 직업은 교육자, 상담사, 언어치료사인데 특히 중등학교 교사에 관심이 많습니다.
초등학교 단계는 직업탐색 할 때 흥미와 적성이 다르다는 것을 알고, 행복한 삶은 흥미와 적성이 일치하는 직업을 선택해야 합니다. 체육 과목은 싫어하는데 수영은 좋아한다는 표현에서 적성과 흥미 구분이 명확하지 않음을 알 수 있습니다.
중등학교 교사가 되기 위해서는 무엇보다 학교 성적이 우수해야 합니다. 4년제 사범대학을 졸업한 후 임용고사에 합격해야 하기 때문입니다. 또 중등교사가 되려면 내향성인 자신의 성격을 좀 더 외향성 쪽으로 향상할 필요가 있습니다. 이를 위해 학교에서 발표를 열심히 하거나 동아리 활동에 좀 더 적극적이면 어느 정도 향상될 것입니다.
중등학교 교사는 학생에 대한 통제력, 리더쉽, 판단력, 분석적 사고능력, 언어 구사 능력, 사명 의식과 책임감, 열성과 애정 등의 적성과 흥미가 있어야 합니다. 상담사와 언어치료사는 다른 사람에 대한 공감 능력도 뛰어나야 합니다. ","사교성이 뛰어나며 친구들과 대화하는 것을 좋아한다. 수영에 소질이 있으며 주로 여가에 유튜브나 영화를 즐겨 본다. 좋아하는 과목은 수학이며 선호하지 않는 과목은 미술, 체육이다. 진로 선택에서 자신을 아는 것이 우선시 되어야 함을 알고 흥미나 적성에 대해 탐색해보기로 했다. 진로 상담을 받아본 경험이 없으며 상담 후 진로 상담 사이트를 통해 검사해보기로 했다.","진로 흥미 탐색 결과 SE형이 나왔으며 관심 있어 하는 직업으로는 교육자, 상담사, 언어치료사이다. 교육자 중에서는 특히 중고등학교 교사에 관심이 있으며 수학교사가 되고 싶어 한다. 수학교사가 되기 위한 방법을 구체적으로 알지 못하여 상담을 통해 교사가 되기 위해 필요한 자격증, 과정에 대해 이해하게 되었으며 교사가 되면 하는 업무들과 그에 따라 필요한 업무수행능력에 대해 알게 되었다.",이공계 교육 관련직,교육관련 서비스직,인문 및 사회과학 관련직
S-0252,사무계열,"초등학교 여학생으로 진로 준비에 대한 도움을 받기 위해 상담하였다. 학생은 관심 있는 직업이 작가이고 좋아하는 활동은 책 읽기며 잘하는 것은

학생의 특성은 긍정적이고 감정적이고 상상력과 창의력을 잘 표현하는 재능을 지니고 있다. 또한 학생은 상담자와의 관계에서 적절하게 소통하는 등 의사소통 및 대인관계 능력이 높을 것으로 보인다.

추천 직무 1순위는 작가 관련직으로 학생이 현재 관심 있어 하는 진로가 작가이며 독서와 글 쓰는 것을 좋아하고 적성에 맞은 것으로 판단되어 이 직무를 추천한다.
추천 직무 2순위는 교육 관련 서비스직으로 학생은 관심 있는 과목이 국어이고 대인관계 능력이 높으며 다른 사람들을 가르치는 활동을 선호하여 이 직무를 추천한다.
추천 직무 3순위는 언어 관련 전문직으로 학생은 표현력이 좋고 발표를 잘하는 등 의사소통 능력이 높으며 다른 사람들에게 메시지를 전달하는 일에 보람을 느끼는 것으로 보여 이 직무를 추천한다.

끝으로 학생은 진로 탐색에 있어 부모의 지지와 격려로 인해 자신에 대한 이해도 깊은 것으로 판단된다. 또한 학생은 진로 결정하기까지 시간이 많으므로 다양한 진로 관련 경험을 통해 자신에게 적합한 진로를 선택하는 데 도움이 될 것으로 보인다.",학생은 책 읽기와 소설 글쓰기를 좋아하며 글 쓰는 직업인 작가가 되고 싶어 한다. 그중 소설작가로 책을 쓰고 싶어 한다. 하지만 미래에도 학생이 좋아하는 직업으로 잘 살 수 있을지가 고민이다. 그래서 상담을 통해 글 쓰는 여러 가지 직업들을 알아보며 글을 잘 쓰면 미래는 걱정 안 해도 된다는 것을 알게 되었다. 학생은 외향적이고 감정적으로 다른 사람 눈치를 많이 보는 민감한 성격으로 학생이 원하는 직업과도 잘 맞는다.,작가가 되기 위해 정말 많은 경험과 사례 등을 아는 것이 중요하다. 또한 트랜드를 알고 있어야 한다고 생각한다. 미래에는 디지털과 인공지능이 직업에 영향을 줄 것을 인지했다. 미래 사회에 적응하기 위해 교육도 변화되고 있다. 협동이 필요한 프로젝트 수업으로 적극적이고 주도적인 시도가 필요하다는 것을 알게 되었다. 디지털 세상일수록 사람이 그리워지고 필요성을 느끼는 시대이기에 작가로서 글을 쓰는 직업이 잘살아 남을 것이라고 긍정적으로 반응했다.,작가 관련직,언어 관련 전문직,인문 및 사회과학 관련직
